,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Revenue,36537000000.0,65225000000.0,108249000000.0,156508000000.0,170910000000.0,182795000000.0,233715000000.0,215639000000.0,229234000000.0,265595000000.0,260174000000.0,274515000000.0,365817000000.0,394328000000.0,383285000000.0,391035000000.0,416161000000.0
period_end_date,2009-09-26,2010-09-25,2011-09-24,2012-09-29,2013-09-28,2014-09-27,2015-09-26,2016-09-24,2017-09-30,2018-09-29,2019-09-28,2020-09-26,2021-09-25,2022-09-24,2023-09-30,2024-09-28,2025-09-27
COGS,23397000000.0,39541000000.0,64431000000.0,87846000000.0,106606000000.0,112258000000.0,140089000000.0,131376000000.0,141048000000.0,163756000000.0,161782000000.0,169559000000.0,212981000000.0,223546000000.0,214137000000.0,210352000000.0,220960000000.0
SG&A,4149000000.0,5517000000.0,7599000000.0,10040000000.0,10830000000.0,11993000000.0,14329000000.0,14194000000.0,15261000000.0,16705000000.0,18245000000.0,19916000000.0,21973000000.0,25094000000.0,24932000000.0,26097000000.0,27601000000.0
R&D,1333000000.0,1782000000.0,2429000000.0,3381000000.0,4475000000.0,6041000000.0,8067000000.0,10045000000.0,11581000000.0,14236000000.0,16217000000.0,18752000000.0,21914000000.0,26251000000.0,29915000000.0,31370000000.0,34550000000.0
OperatingExpenses,5482000000.0,7299000000.0,10028000000.0,13421000000.0,15305000000.0,18034000000.0,22396000000.0,24239000000.0,26842000000.0,30941000000.0,34462000000.0,38668000000.0,43887000000.0,51345000000.0,54847000000.0,57467000000.0,62151000000.0
OperatingIncome,7658000000.0,18385000000.0,33790000000.0,55241000000.0,48999000000.0,52503000000.0,71230000000.0,60024000000.0,61344000000.0,70898000000.0,63930000000.0,66288000000.0,108949000000.0,119437000000.0,114301000000.0,123216000000.0,133050000000.0
NetIncome,5704000000.0,14013000000.0,25922000000.0,41733000000.0,37037000000.0,39510000000.0,53394000000.0,45687000000.0,48351000000.0,59531000000.0,55256000000.0,57411000000.0,94680000000.0,99803000000.0,96995000000.0,93736000000.0,112010000000.0
PretaxIncome,7984000000.0,18540000000.0,34205000000.0,55763000000.0,50155000000.0,53483000000.0,72515000000.0,61372000000.0,64089000000.0,72903000000.0,65737000000.0,67091000000.0,109207000000.0,119103000000.0,113736000000.0,123485000000.0,132729000000.0
CapitalizedSoftwareAmortization,25000000.0,48000000.0,30000000.0,,,,,,,,,,,,,,
Depreciation_Total_Aggregate,606000000.0,815000000.0,1600000000.0,2600000000.0,5800000000.0,6900000000.0,9200000000.0,8300000000.0,8200000000.0,10903000000.0,12547000000.0,11056000000.0,11284000000.0,11104000000.0,11519000000.0,11445000000.0,11698000000.0
SBC,710000000.0,879000000.0,1168000000.0,1740000000.0,2253000000.0,2863000000.0,3586000000.0,4210000000.0,4840000000.0,5340000000.0,6068000000.0,6829000000.0,7906000000.0,9038000000.0,10833000000.0,11688000000.0,12863000000.0
NonOperatingIncome,326000000.0,155000000.0,415000000.0,522000000.0,1156000000.0,980000000.0,1285000000.0,1348000000.0,2745000000.0,2005000000.0,1807000000.0,803000000.0,258000000.0,-334000000.0,-565000000.0,269000000.0,-321000000.0
TaxExpense,2280000000.0,4527000000.0,8283000000.0,14030000000.0,13118000000.0,13973000000.0,19121000000.0,15685000000.0,15738000000.0,13372000000.0,10481000000.0,9680000000.0,14527000000.0,19300000000.0,16741000000.0,29749000000.0,20719000000.0
CashTaxesPaid,2997000000.0,2697000000.0,3338000000.0,7682000000.0,9128000000.0,10026000000.0,13252000000.0,10444000000.0,11591000000.0,10417000000.0,15263000000.0,9501000000.0,25385000000.0,19573000000.0,18679000000.0,26102000000.0,43369000000.0
TotalAssets,53851000000.0,75183000000.0,116371000000.0,176064000000.0,207000000000.0,231839000000.0,290479000000.0,321686000000.0,375319000000.0,365725000000.0,338516000000.0,323888000000.0,351002000000.0,352755000000.0,352583000000.0,364980000000.0,359241000000.0
CurrentAssets,36265000000.0,41678000000.0,44988000000.0,57653000000.0,73286000000.0,68531000000.0,89378000000.0,106869000000.0,128645000000.0,131339000000.0,162819000000.0,143713000000.0,134836000000.0,135405000000.0,143566000000.0,152987000000.0,147957000000.0
Cash,5263000000.0,11261000000.0,9815000000.0,10746000000.0,14259000000.0,13844000000.0,21120000000.0,20484000000.0,20289000000.0,25913000000.0,48844000000.0,38016000000.0,34940000000.0,23646000000.0,29965000000.0,29943000000.0,35934000000.0
ShortTermInvestments,18201000000.0,14359000000.0,16137000000.0,18383000000.0,26287000000.0,11233000000.0,20481000000.0,46671000000.0,53892000000.0,40388000000.0,51713000000.0,52927000000.0,27699000000.0,24658000000.0,31590000000.0,35228000000.0,18763000000.0
AccountsReceivable,3361000000.0,5510000000.0,5369000000.0,10930000000.0,13102000000.0,17460000000.0,16849000000.0,15754000000.0,17874000000.0,23186000000.0,22926000000.0,16120000000.0,26278000000.0,28184000000.0,29508000000.0,33410000000.0,39777000000.0
Inventory,455000000.0,1051000000.0,776000000.0,791000000.0,1764000000.0,2111000000.0,2349000000.0,2132000000.0,4855000000.0,3956000000.0,4106000000.0,4061000000.0,6580000000.0,4946000000.0,6331000000.0,7286000000.0,5718000000.0
Goodwill,206000000.0,741000000.0,896000000.0,1135000000.0,1577000000.0,4616000000.0,5116000000.0,5414000000.0,5717000000.0,,,,,,,,
IntangibleAssetsNet,247000000.0,342000000.0,3536000000.0,4224000000.0,4179000000.0,4142000000.0,3893000000.0,3206000000.0,2298000000.0,,,,,,,,
TotalLiabilities,26019000000.0,27392000000.0,39756000000.0,57854000000.0,83451000000.0,120292000000.0,171124000000.0,193437000000.0,241272000000.0,258578000000.0,248028000000.0,258549000000.0,287912000000.0,302083000000.0,290437000000.0,308030000000.0,285508000000.0
LiabilitiesCurrent,19282000000.0,20722000000.0,27970000000.0,38542000000.0,43658000000.0,63448000000.0,80610000000.0,79006000000.0,100814000000.0,116866000000.0,105718000000.0,105392000000.0,125481000000.0,153982000000.0,145308000000.0,176392000000.0,165631000000.0
LongTermInvestments,10528000000.0,25391000000.0,55618000000.0,92122000000.0,106215000000.0,130162000000.0,164065000000.0,170430000000.0,194714000000.0,170799000000.0,105341000000.0,100887000000.0,127877000000.0,120805000000.0,100544000000.0,91479000000.0,77723000000.0
AccountsPayable,5601000000.0,12015000000.0,14632000000.0,21175000000.0,22367000000.0,30196000000.0,35490000000.0,37294000000.0,49049000000.0,55888000000.0,46236000000.0,42296000000.0,54763000000.0,64115000000.0,62611000000.0,68960000000.0,69860000000.0
DeferredRevenue,10305000000.0,2984000000.0,4091000000.0,5953000000.0,7435000000.0,8491000000.0,8940000000.0,8080000000.0,7548000000.0,7543000000.0,5522000000.0,6643000000.0,7612000000.0,7912000000.0,8061000000.0,8249000000.0,9055000000.0
DeferredRevenueNoncurrent,4485000000.0,1139000000.0,1686000000.0,2648000000.0,2625000000.0,3031000000.0,3624000000.0,2930000000.0,2836000000.0,2797000000.0,,,,,,,
TotalEquity,27832000000.0,47791000000.0,76615000000.0,118210000000.0,123549000000.0,111547000000.0,119355000000.0,128249000000.0,134047000000.0,107147000000.0,90488000000.0,65339000000.0,63090000000.0,50672000000.0,62146000000.0,56950000000.0,73733000000.0
EquityParentOnly,27832000000.0,47791000000.0,76615000000.0,118210000000.0,123549000000.0,111547000000.0,119355000000.0,128249000000.0,134047000000.0,107147000000.0,90488000000.0,65339000000.0,63090000000.0,50672000000.0,62146000000.0,56950000000.0,73733000000.0
OperatingCF,10159000000.0,18595000000.0,37529000000.0,50856000000.0,53666000000.0,59713000000.0,81266000000.0,65824000000.0,63598000000.0,77434000000.0,69391000000.0,80674000000.0,104038000000.0,122151000000.0,110543000000.0,118254000000.0,111482000000.0
InvestingCF,-17434000000.0,-13854000000.0,-40419000000.0,-48227000000.0,-33774000000.0,-22579000000.0,-56274000000.0,-45977000000.0,-46446000000.0,16066000000.0,45896000000.0,-4289000000.0,-14545000000.0,-22354000000.0,3705000000.0,2935000000.0,15195000000.0
FinancingCF,663000000.0,1257000000.0,1444000000.0,-1698000000.0,-16379000000.0,-37549000000.0,-17716000000.0,-20483000000.0,-17347000000.0,-87876000000.0,-90976000000.0,-86820000000.0,-93353000000.0,-110749000000.0,-108488000000.0,-121983000000.0,-120686000000.0
CapEx,1144000000.0,2005000000.0,4260000000.0,8295000000.0,8165000000.0,9571000000.0,11247000000.0,12734000000.0,12451000000.0,13313000000.0,10495000000.0,7309000000.0,11085000000.0,10708000000.0,10959000000.0,9447000000.0,12715000000.0
SharesDiluted,907005000.0,924712000.0,936645000.0,945355000.0,931662000.0,6122663000.0,5793069000.0,5500281000.0,5251692000.0,5000109000.0,4648913000.0,17528214000.0,16864919000.0,16325819000.0,15812547000.0,15408095000.0,15004697000.0
DilutedEPS,6.29,15.15,27.68,44.15,39.75,6.45,9.22,8.31,9.21,11.91,11.89,3.28,5.61,6.11,6.13,6.08,7.46
SharesBasic,893016000.0,909461000.0,924258000.0,934818000.0,925331000.0,6085572000.0,5753421000.0,5470820000.0,5217242000.0,4955377000.0,4617834000.0,17352119000.0,16701272000.0,16215963000.0,15744231000.0,15343783000.0,14948500000.0
SharesOutstanding,899805500.0,915970050.0,929277000.0,939208000.0,899213000.0,5866161000.0,5578753000.0,5336166000.0,5126201000.0,4754986000.0,4443236000.0,16976763000.0,16426786000.0,15943425000.0,15550061000.0,15116786000.0,14773260000.0
period_end_date_missing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
