,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Revenue,62484000000.0,69943000000.0,73723000000.0,77849000000.0,86833000000.0,93580000000.0,91154000000.0,96571000000.0,110360000000.0,125843000000.0,143015000000.0,168088000000.0,198270000000.0,211915000000.0,245122000000.0,281724000000.0
period_end_date,2010-06-30,2011-06-30,2012-06-30,2013-06-30,2014-06-30,2015-06-30,2016-06-30,2017-06-30,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30,2023-06-30,2024-06-30,2025-06-30
COGS,12395000000.0,15577000000.0,17530000000.0,20249000000.0,26934000000.0,33038000000.0,32780000000.0,34261000000.0,38353000000.0,42910000000.0,46078000000.0,52232000000.0,62650000000.0,65863000000.0,74114000000.0,87831000000.0
SellingAndMarketing,13214000000.0,13940000000.0,13857000000.0,15276000000.0,15811000000.0,15713000000.0,14697000000.0,15539000000.0,17469000000.0,18213000000.0,19598000000.0,20117000000.0,21825000000.0,22759000000.0,24456000000.0,25654000000.0
GeneralAndAdministrative,4004000000.0,4222000000.0,4569000000.0,5149000000.0,4821000000.0,4611000000.0,4563000000.0,4481000000.0,4754000000.0,4885000000.0,5111000000.0,5107000000.0,5900000000.0,7575000000.0,7609000000.0,7223000000.0
R&D,8714000000.0,9043000000.0,9811000000.0,10411000000.0,11381000000.0,12046000000.0,11988000000.0,13037000000.0,14726000000.0,16876000000.0,19269000000.0,20716000000.0,24512000000.0,27195000000.0,29510000000.0,32488000000.0
OperatingExpenses,38386000000.0,27205000000.0,34430000000.0,30836000000.0,32140000000.0,42381000000.0,,,,,,,,57529000000.0,61575000000.0,65365000000.0
OperatingIncome,24098000000.0,27161000000.0,21763000000.0,26764000000.0,27759000000.0,18161000000.0,20182000000.0,22326000000.0,35058000000.0,42959000000.0,52959000000.0,69916000000.0,83383000000.0,88523000000.0,109433000000.0,128528000000.0
NetIncome,18760000000.0,23150000000.0,16978000000.0,21863000000.0,22074000000.0,12193000000.0,16798000000.0,21204000000.0,16571000000.0,39240000000.0,44281000000.0,61271000000.0,72738000000.0,72361000000.0,88136000000.0,101832000000.0
PretaxIncome,25013000000.0,28071000000.0,22267000000.0,27052000000.0,27820000000.0,18507000000.0,19751000000.0,23149000000.0,36474000000.0,43688000000.0,53036000000.0,71102000000.0,83716000000.0,89311000000.0,107787000000.0,123627000000.0
Depreciation_Tangible,1800000000.0,2000000000.0,2200000000.0,2600000000.0,3400000000.0,4100000000.0,4900000000.0,6100000000.0,7700000000.0,9700000000.0,10700000000.0,9300000000.0,12600000000.0,11000000000.0,15200000000.0,22000000000.0
IntangibleAmortization,707000000.0,537000000.0,558000000.0,739000000.0,845000000.0,1300000000.0,978000000.0,1700000000.0,2200000000.0,1900000000.0,1600000000.0,1600000000.0,2000000000.0,2500000000.0,4800000000.0,6000000000.0
CapitalizedSoftwareAmortization,97000000.0,114000000.0,117000000.0,210000000.0,200000000.0,79000000.0,,,,,,,,,,
SBC,1891000000.0,2166000000.0,2244000000.0,2406000000.0,2446000000.0,2574000000.0,2668000000.0,3266000000.0,3940000000.0,4652000000.0,5289000000.0,6118000000.0,7502000000.0,9611000000.0,10734000000.0,11974000000.0
InterestExpense,151000000.0,295000000.0,380000000.0,429000000.0,597000000.0,781000000.0,1243000000.0,2222000000.0,2733000000.0,2686000000.0,2591000000.0,2346000000.0,2063000000.0,1968000000.0,2935000000.0,
NonOperatingIncome,915000000.0,910000000.0,504000000.0,288000000.0,61000000.0,346000000.0,-431000000.0,823000000.0,1416000000.0,729000000.0,77000000.0,1186000000.0,333000000.0,788000000.0,-1646000000.0,-4901000000.0
OtherNonOperatingIncome,14000000.0,-31000000.0,1000000.0,194000000.0,-169000000.0,-267000000.0,-195000000.0,-251000000.0,-59000000.0,-57000000.0,-40000000.0,98000000.0,-32000000.0,-223000000.0,-1319000000.0,-4725000000.0
TaxExpense,6253000000.0,4921000000.0,5289000000.0,5189000000.0,5746000000.0,6314000000.0,2953000000.0,1945000000.0,19903000000.0,4448000000.0,8755000000.0,9831000000.0,10978000000.0,16950000000.0,19651000000.0,21795000000.0
CashTaxesPaid,4100000000.0,5300000000.0,3500000000.0,3900000000.0,5500000000.0,4400000000.0,3900000000.0,2400000000.0,5500000000.0,8400000000.0,12500000000.0,13400000000.0,16000000000.0,23100000000.0,23400000000.0,28700000000.0
TotalAssets,86113000000.0,108704000000.0,121271000000.0,142431000000.0,172384000000.0,176223000000.0,193694000000.0,241086000000.0,258848000000.0,286556000000.0,301311000000.0,333779000000.0,364840000000.0,411976000000.0,512163000000.0,619003000000.0
CurrentAssets,55676000000.0,74918000000.0,85084000000.0,101466000000.0,114246000000.0,124712000000.0,139660000000.0,159851000000.0,169662000000.0,175552000000.0,181915000000.0,184406000000.0,169684000000.0,184257000000.0,159734000000.0,191131000000.0
