ticker,fiscal_year,Revenue,OperatingIncome,NetIncome,Depreciation,CapEx,TotalAssets,TotalLiabilities,LiabilitiesCurrent,TotalEquity,Cash
AAPL,2025,$416.2B,$133.1B,$112.0B,$11.7B,$12.7B,$359.2B,$285.5B,$165.6B,$73.7B,$35.9B
ABT,2025,$44.3B,$8.1B,$6.5B,-,$2.2B,$86.7B,-,$16.5B,$52.8B,$8.5B
AMD,2025,$34.6B,$3.7B,$4.3B,-,$1.0B,$76.9B,-,$9.5B,$63.0B,$5.5B
AMZN,2025,$716.9B,$80.0B,$77.7B,$65.8B,$131.8B,$818.0B,-,$218.0B,$411.1B,$86.8B
ASML,2025,$35.8B,$12.4B,$10.5B,$1.1B,$1.7B,$55.4B,$33.9B,$26.6B,$21.5B,$14.1B
BRK-B,2025,$371.4B,-,$67.0B,$13.5B,$20.9B,$1222.2B,$502.5B,-,$719.7B,-
CAT,2025,$67.6B,$11.2B,$8.9B,$2.3B,$2.8B,$98.6B,$77.3B,$36.6B,$21.3B,$10.0B
CNC,2025,$194.8B,$-7.6B,$-6.7B,$1.3B,$0.8B,$76.7B,$56.7B,$36.7B,$20.0B,$17.9B
COST,2025,$275.2B,$10.4B,$8.1B,$2.4B,$5.5B,$77.1B,$47.9B,$37.1B,$29.2B,$14.2B
GOOGL,2025,$402.8B,$129.0B,$132.2B,-,$91.4B,$595.3B,$180.0B,$102.7B,$415.3B,$30.7B
JPM,2025,$182.4B,-,$57.0B,$8.8B,-,$4424.9B,$4062.5B,-,$362.4B,-
LLY,2025,$65.2B,-,$20.6B,$2.0B,$7.8B,$112.5B,-,$35.2B,$26.5B,$7.3B
META,2025,$201.0B,$83.3B,$60.5B,$18.6B,$69.7B,$366.0B,$148.8B,$41.8B,$217.2B,$35.9B
MSFT,2025,$281.7B,$128.5B,$101.8B,-,$64.6B,$619.0B,$275.5B,$141.2B,$343.5B,$30.2B
NEE,2025,$25.8B,$8.3B,$6.8B,$6.6B,-,$212.7B,$146.2B,$22.8B,$66.5B,$2.8B
NVDA,2025,$130.5B,$81.5B,$72.9B,$1.9B,$3.2B,$111.6B,$32.3B,$18.0B,$79.3B,$8.6B
ORCL,2025,$57.4B,$17.7B,$12.4B,-,$21.2B,$168.4B,-,$32.6B,$21.0B,$10.8B
QCOM,2025,$44.3B,$12.4B,$5.5B,$1.6B,$1.2B,$50.1B,$28.9B,$9.1B,$21.2B,$5.5B
SMCI,2025,$22.0B,$1.3B,$1.0B,$0.0B,$0.1B,$14.0B,$7.7B,$2.3B,$6.3B,$5.2B
TSLA,2025,$94.8B,$4.4B,$3.8B,-,$8.5B,$137.8B,$54.9B,$31.7B,$82.8B,$16.5B
TSM,2024,$90.3B,$41.2B,$36.1B,$20.4B,$29.8B,$208.7B,$75.2B,$40.8B,$132.4B,-
TXN,2025,$17.7B,$6.0B,$5.0B,-,$4.5B,$34.6B,$18.3B,$3.2B,$16.3B,$3.2B
UNH,2025,$447.6B,$19.0B,$12.1B,$4.4B,$3.6B,$309.6B,$207.9B,$114.9B,$100.1B,$24.4B
V,2025,$40.0B,$24.0B,$20.1B,$1.2B,$1.5B,$99.6B,$61.7B,$35.0B,$37.9B,$17.2B
WMT,2025,$681.0B,$29.3B,$19.4B,$13.0B,$23.8B,$260.8B,-,$96.6B,$97.4B,$9.0B
