year,year_end_date,erp_decimal
1961,1961-12-31,0.0292
1962,1962-12-31,0.0356
1963,1963-12-31,0.0338
1964,1964-12-31,0.0331
1965,1965-12-31,0.0332
1966,1966-12-31,0.0368
1967,1967-12-31,0.032
1968,1968-12-31,0.03
1969,1969-12-31,0.0374
1970,1970-12-31,0.0341
1971,1971-12-31,0.0309
1972,1972-12-31,0.0272
1973,1973-12-31,0.043
1974,1974-12-31,0.0559
1975,1975-12-31,0.0413
1976,1976-12-31,0.0455
1977,1977-12-31,0.0592
1978,1978-12-31,0.0572
1979,1979-12-31,0.0645
1980,1980-12-31,0.0503
1981,1981-12-31,0.0573
1982,1982-12-31,0.049
1983,1983-12-31,0.0431
1984,1984-12-31,0.0511
1985,1985-12-31,0.0384
1986,1986-12-31,0.0358
1987,1987-12-31,0.0399
1988,1988-12-31,0.0377
1989,1989-12-31,0.0351
1990,1990-12-31,0.0389
1991,1991-12-31,0.0348
1992,1992-12-31,0.0355
1993,1993-12-31,0.0317
1994,1994-12-31,0.0355
1995,1995-12-31,0.0329
1996,1996-12-31,0.032
1997,1997-12-31,0.0273
1998,1998-12-31,0.0226
1999,1999-12-31,0.0205
2000,2000-12-31,0.0287
2001,2001-12-31,0.0362
2002,2002-12-31,0.041
2003,2003-12-31,0.0369
2004,2004-12-31,0.0365
2005,2005-12-31,0.0408
2006,2006-12-31,0.0416
2007,2007-12-31,0.0437
2008,2008-12-31,0.0643
2009,2009-12-31,0.0436
2010,2010-12-31,0.052
2011,2011-12-31,0.0601
2012,2012-12-31,0.0578
2013,2013-12-31,0.0496
2014,2014-12-31,0.0578
2015,2015-12-31,0.0612
2016,2016-12-31,0.0569
2017,2017-12-31,0.0508
2018,2018-12-31,0.0596
2019,2019-12-31,0.052
2020,2020-12-31,0.0472
2021,2021-12-31,0.0424
2022,2022-12-31,0.0594
2023,2023-12-31,0.046
2024,2024-12-31,0.0433
2025,2025-12-31,0.0423
